id,text,category,tags,tone,attribution
everyday-001,You are allowed to take today gently.,everyday,dashboard|general,gentle,
everyday-002,A small step still changes the day.,everyday,dashboard|general,gentle,
everyday-003,Begin where your feet already are.,everyday,dashboard|general,gentle,
everyday-004,There is room for ease today.,everyday,dashboard|general,gentle,
everyday-005,Let today be simple and honest.,everyday,dashboard|general,gentle,
everyday-006,You do not need to hurry your life.,everyday,dashboard|general,gentle,
everyday-007,One kind choice can soften everything.,everyday,dashboard|general,gentle,
everyday-008,Your pace is still a valid pace.,everyday,dashboard|general,gentle,
everyday-009,Notice what is already going right.,everyday,dashboard|general,gentle,
everyday-010,You can start again from this moment.,everyday,dashboard|general,gentle,
everyday-011,Make space for what matters quietly.,everyday,dashboard|general,gentle,
everyday-012,Today does not need to be perfect.,everyday,dashboard|general,gentle,
everyday-013,Keep what helps. Release what does not.,everyday,dashboard|general,gentle,
everyday-014,Let enough be enough for today.,everyday,dashboard|general,gentle,
everyday-015,"You are building a life, not racing one.",everyday,dashboard|general,gentle,
everyday-016,Tiny progress deserves to be noticed.,everyday,dashboard|general,gentle,
everyday-017,Choose the next gentle thing.,everyday,dashboard|general,gentle,
everyday-018,Your day can change one moment at a time.,everyday,dashboard|general,gentle,
everyday-019,"Some days are for becoming, slowly.",everyday,dashboard|general,gentle,
everyday-020,Let your life feel like yours.,everyday,dashboard|general,gentle,
morning-001,"The day is new, and so are your choices.",morning,time-of-day|morning,hopeful,
morning-002,Wake slowly. The world can wait a moment.,morning,time-of-day|morning,hopeful,
morning-003,"Start softly, then find your rhythm.",morning,time-of-day|morning,hopeful,
morning-004,"Morning light is an invitation, not a deadline.",morning,time-of-day|morning,hopeful,
morning-005,Choose one thing to begin with care.,morning,time-of-day|morning,hopeful,
morning-006,You do not have to earn a peaceful morning.,morning,time-of-day|morning,hopeful,
morning-007,Let the first hour belong to you.,morning,time-of-day|morning,hopeful,
morning-008,Open the day with something kind.,morning,time-of-day|morning,hopeful,
morning-009,A quiet beginning can hold a strong day.,morning,time-of-day|morning,hopeful,
morning-010,Breathe before the notifications begin.,morning,time-of-day|morning,hopeful,
morning-011,"Today is waiting, not chasing you.",morning,time-of-day|morning,hopeful,
morning-012,Carry this softness into the day.,morning,time-of-day|morning,hopeful,
afternoon-001,Pause. The day is still yours.,afternoon,time-of-day|afternoon,grounding,
afternoon-002,You can reset without starting over.,afternoon,time-of-day|afternoon,grounding,
afternoon-003,The afternoon can be a second beginning.,afternoon,time-of-day|afternoon,grounding,
afternoon-004,"Return to what matters, gently.",afternoon,time-of-day|afternoon,grounding,
afternoon-005,Take a breath between one thing and another.,afternoon,time-of-day|afternoon,grounding,
afternoon-006,You have already made it this far.,afternoon,time-of-day|afternoon,grounding,
afternoon-007,Leave some energy for yourself.,afternoon,time-of-day|afternoon,grounding,
afternoon-008,Slow down enough to notice the day.,afternoon,time-of-day|afternoon,grounding,
evening-001,Let the day loosen its grip.,evening,time-of-day|evening,unwinding,
evening-002,You have done enough to come home to yourself.,evening,time-of-day|evening,unwinding,
evening-003,The evening does not need your productivity.,evening,time-of-day|evening,unwinding,
evening-004,Put down what can wait until tomorrow.,evening,time-of-day|evening,unwinding,
evening-005,Let the light soften everything.,evening,time-of-day|evening,unwinding,
evening-006,You can close the day without solving it.,evening,time-of-day|evening,unwinding,
evening-007,Make room for comfort tonight.,evening,time-of-day|evening,unwinding,
evening-008,The unfinished things can rest too.,evening,time-of-day|evening,unwinding,
evening-009,Notice what carried you through today.,evening,time-of-day|evening,unwinding,
evening-010,Welcome the quieter part of the day.,evening,time-of-day|evening,unwinding,
night-001,Rest does not need to be earned.,night,time-of-day|night,restful,
night-002,Tomorrow can hold tomorrow.,night,time-of-day|night,restful,
night-003,Let your thoughts settle at their own pace.,night,time-of-day|night,restful,
night-004,The night is allowed to be quiet.,night,time-of-day|night,restful,
night-005,You can release the day now.,night,time-of-day|night,restful,
night-006,Close your eyes. Nothing needs fixing tonight.,night,time-of-day|night,restful,
night-007,Your body deserves a peaceful ending.,night,time-of-day|night,restful,
night-008,Leave a little tenderness for yourself.,night,time-of-day|night,restful,
night-009,The stars are not in a hurry either.,night,time-of-day|night,restful,
night-010,Sleep is part of moving forward.,night,time-of-day|night,restful,
work-focus-001,One clear task is enough to begin.,work-focus,work|focus,focused,
work-focus-002,Focus on the next visible step.,work-focus,work|focus,focused,
work-focus-003,Done with care beats rushed and perfect.,work-focus,work|focus,focused,
